Language,Idea / Ad Name,Category,Concept Brief,resolved_ad_id,resolved_competitor,seed_language,english_script_gdoc_url,language_script_gdoc_url,review_priority,review_notes,safety_verdict,status
Hindi,"Print Paper - Promotion, Trip Et Al",Competitor Replication,Print Paper explanation of how English can help you,1314122850567353,mysivi,Malayalam,https://docs.google.com/document/d/1EEzbp0WV-wI5x_sL29tf6Ozh8IoYTS27hPNdug-EZCc/edit?usp=drivesdk,https://docs.google.com/document/d/17k5E4t6x25Zczd7DxRIyABxAcS_IBQ8c4xGrBGrENZI/edit?usp=drivesdk,🔴 Priority review,"price/discount shown — remove the hard rupee figure or confirm it's the source visual (G6.1); drop the absolute superlative ('best', 'only', '#1') (G1.4)",block,new
Hindi,I go to home - Split Screen MIss Nova,Competitor Replication,"Man driving the car says, ""I go to home."" Split screen Miss Nova corrects. Exact replication",810618368177111,mysivi,Tamil,https://docs.google.com/document/d/14PXhy6vTV9vjv_l4QZCw_xDArH6a4Vd3Vs74VzNOEDU/edit?usp=drivesdk,https://docs.google.com/document/d/1zuPVzokK3-ldVJbbtAk8nBOgISzIZndPl0DEKjubt-0/edit?usp=drivesdk,🔴 Priority review,price/discount shown — remove the hard rupee figure or confirm it's the source visual (G6.1); price/UI overlay in the VISUAL — strip from production or confirm it's the source ad (G4.2),block,new
Hindi,2D Family Dinner - Mom rocks,Competitor Replication,"The phone picks up the phone, speaks in fluent English, 2D animation video",1667844751047305,mysivi,Kannada,https://docs.google.com/document/d/1caA6vQCqeGY4fgh3lUWkak514zqt_2C74CyywUXuKM0/edit?usp=drivesdk,https://docs.google.com/document/d/1N6F8eVjHz-ekfvLVf7y8slyheMsV4ga3upYnxnA9B2Y/edit?usp=drivesdk,🔴 Priority review,price/discount shown — remove the hard rupee figure or confirm it's the source visual (G6.1),block,new
Hindi,Auto Anna Speaks Fluent English,Competitor Replication,"UPI blog for Ottowanna speaks in fluent English. Lady is surprised and asks, ""How did you learn?""",1263491662355958,mysivi,Kannada,https://docs.google.com/document/d/1gWRZcJGrcdgjnwpJKYpiPkPwbX6k-ZDFts7plA5QjSg/edit?usp=drivesdk,https://docs.google.com/document/d/1wO-GwBXhrDVlAeDvFUbLjQXo5Cp0U1Uen40IjBoRnBc/edit?usp=drivesdk,🔴 Priority review,soften the progress claim with a hedge ('start to' / 'can') (G1.1),block,new
Hindi,Hold My Hand - Robot Girl,Competitor Replication,Robert asks the girl to hold his hand. Girl repeats,1302756378351352,mysivi,Kannada,https://docs.google.com/document/d/1GeBrA6O3aFVhp9u5Zch0Nw7R0VRplNMI0Y775AH6tfQ/edit?usp=drivesdk,https://docs.google.com/document/d/1MC3qSwbasWsidyzyPaT0movzOHLF4A13tLMjH_qbCpc/edit?usp=drivesdk,🔴 Priority review,price/discount shown — remove the hard rupee figure or confirm it's the source visual (G6.1); price/UI overlay in the VISUAL — strip from production or confirm it's the source ad (G4.2),block,new
Hindi,AI Feedback on video call,Competitor Replication,AI Feedback on video call. Ditto Replication,1974355020143862,mysivi,Kannada,https://docs.google.com/document/d/1Lq69Z0l9tZxT-g_JCCTcYb_y5rdF4_dxETZjTEEVokA/edit?usp=drivesdk,https://docs.google.com/document/d/1YEeEwVb-RXXiAcq5_gBRgJD6uuFTJhri3sz1R5IC3ZM/edit?usp=drivesdk,🔴 Priority review,price/UI overlay in the VISUAL — strip from production or confirm it's the source ad (G4.2),block,new
Hindi,Patient talks to doctor in fluent English,Competitor Replication,"A patient stands in between the paddy fields and speaks to the doctor. The doctor is surprised and asks, ""How did you learn?""",4333182190269237,mysivi,Kannada,https://docs.google.com/document/d/1hexuy9NjLiWhajAEqq-Vk7enmWlqoBLusssLer6AN0g/edit?usp=drivesdk,https://docs.google.com/document/d/1tM6_p_yUOv-lbpL7KDPWTrSWViQXtIKq3698-vZ8WrI/edit?usp=drivesdk,🔴 Priority review,price/UI overlay in the VISUAL — strip from production or confirm it's the source ad (G4.2),block,new
Hindi,Text-based 2D Video - Music changes to BGM,Competitor Replication,Same Musical Text Video but this time music changes to this,1251362460515133,mysivi,Telugu,https://docs.google.com/document/d/1jcmWE79sfgM-DGaxQGrLhTnfvR4seTps0eWmJQhsYwE/edit?usp=drivesdk,https://docs.google.com/document/d/17gcuF6XBtUh17I7Gc05_09-L8I8T9zJi4rgMLMuDJZ4/edit?usp=drivesdk,🟢 Standard,Auto-checks clean — routine verify.,pass,new
Hindi,My hands on Fire - Miss Nova Split screen,Competitor Replication,Exact replication,1465693778484060,mysivi,Tamil,https://docs.google.com/document/d/10KuGbjSb6QJhuAGTz9bmU2_ccfGI2FT-rxQ2Vgp5_Iw/edit?usp=drivesdk,https://docs.google.com/document/d/1HydB265WgtczuDKlrydf9aTHYVDtP8wADWVIphgjW18/edit?usp=drivesdk,🔴 Priority review,price/UI overlay in the VISUAL — strip from production or confirm it's the source ad (G4.2),block,new
Hindi,Shahrukh Khan Meme - Coaching class vs Supernova,Competitor Replication,Exact replication,898788299356495,mysivi,Hindi,https://docs.google.com/document/d/1ZhRK67OQWs-hLNT_GKzjy_hrdAcMiYugBgPUF4XNOro/edit?usp=drivesdk,https://docs.google.com/document/d/1oUwF684FnNC96moZ3YfQB58BEJXiiu5W5NQLyKQoeiI/edit?usp=drivesdk,🟢 Standard,Auto-checks clean — routine verify.,pass,new
Hindi,Fish Market guy speaks English,Competitor Replication,Exact replication,1784873822495389,mysivi,Telugu,https://docs.google.com/document/d/1fnQSf3bhQXLsjYwAc_ooNS6RgcyC520Xk5iioYfa4Xw/edit?usp=drivesdk,https://docs.google.com/document/d/1_gOLGgXaw6xavQc5sNBvxB9NRe7II702XfB-AVVwHSw/edit?usp=drivesdk,🔴 Priority review,price/discount shown — remove the hard rupee figure or confirm it's the source visual (G6.1),block,new
Hindi,"Print Paper - Youtube, Instragram",Competitor Replication,Exact replication,810472615431061,mysivi,Telugu,https://docs.google.com/document/d/1-6raMXixIulsecFDyOWEsD5DgNc6fY5PDdzyFEfI8AU/edit?usp=drivesdk,https://docs.google.com/document/d/10T8DaMXWD6pyO0s81YiA-FjRSDBFdG20KpzH2U285ZU/edit?usp=drivesdk,🟢 Standard,Auto-checks clean — routine verify.,pass,new
Hindi,Vegetable guy speaks fluent English,Competitor Replication,Exact replication,1609972700062447,mysivi,Kannada,https://docs.google.com/document/d/1-v-hFhgPWxQHNULmco2TrUsHzSk65uoF0ygQD6Melbs/edit?usp=drivesdk,https://docs.google.com/document/d/1CMoYpfivvfT_A7ryf69YZTpXNecFcCCwPZFpUFlUEhw/edit?usp=drivesdk,🔴 Priority review,price/discount shown — remove the hard rupee figure or confirm it's the source visual (G6.1); don't name/trash a competitor or 3rd-party platform (G2.1),block,new
Hindi,Wall Mirror - I'm 22,Competitor Replication,Exact replication,4336764726641466,mysivi,Hindi,https://docs.google.com/document/d/1HCi6mFf_B7zGlror_cUK6oe3VMmCB5Ul4Dwnhdegin0/edit?usp=drivesdk,https://docs.google.com/document/d/1lf-ynegNiucVH5FVyIMNg097M2r7U6Kx1La3C5BVWdU/edit?usp=drivesdk,🔴 Priority review,price/UI overlay in the VISUAL — strip from production or confirm it's the source ad (G4.2),block,new
Hindi,Robot-Man Podcast,Competitor Replication,Exact replication. Edit style is the key too.,807034821685948,mysivi,Tamil,https://docs.google.com/document/d/13aC6g-tkY614_jGTfLW1uqNOBd2mnactAiNssXgugyA/edit?usp=drivesdk,https://docs.google.com/document/d/1df2WKgJxhxxgsq1-iJ-8tcEyJXgwzP84cuidoDl3AZQ/edit?usp=drivesdk,🟡 Review suggested,don't name/trash a competitor or 3rd-party platform (G2.1),flag,new
Hindi,Print Paper Story,Competitor Replication,Exact replication,1281378333413448,mysivi,English,https://docs.google.com/document/d/1MV0EbOjT38NXC0jLv_EmBz8IhCzlAZMMrHZRM3qbV64/edit?usp=drivesdk,https://docs.google.com/document/d/1yw6RF7Es93YCwn0wRlSQAxmvaUcGqdW7P4V94fJm5U8/edit?usp=drivesdk,🟢 Standard,Auto-checks clean — routine verify.,pass,new
Hindi,"Direct Pitch - Old Man - Youtube videos, Cinemas",Competitor Replication,Exact replication,1276393614386637,mysivi,Kannada,https://docs.google.com/document/d/16TM9c73FUQtxoZ8M3n4QwPJLalzPDh4Gzg0VWI_BY2U/edit?usp=drivesdk,https://docs.google.com/document/d/1c5TfV05ZCywNTp2V0NbXjrZ_8bjhW0HWBOxE7KBpu5M/edit?usp=drivesdk,🟡 Review suggested,use only the approved '1 crore+' proof point (G6.3),flag,new
Hindi,Circle Back - Split Screen,Competitor Replication,Exact replication,929881406663276,mysivi,Hindi,https://docs.google.com/document/d/1PW3B9KMAzNFyMenZT-abahO0Quv2s0IyNCgpFxbdHN4/edit?usp=drivesdk,https://docs.google.com/document/d/1j2VVOqZdBM4cynLf_YuaXNY974ynXKfQ3HYzU5menIE/edit?usp=drivesdk,🔴 Priority review,price/discount shown — remove the hard rupee figure or confirm it's the source visual (G6.1),block,new
Hindi,Return Back - Split Screen,Competitor Replication,Exact replication,1645285983333298,mysivi,Marathi,https://docs.google.com/document/d/16amnnfMPnSkPmMyq6mC5WsO8trDCDuN6tDe2HeWt974/edit?usp=drivesdk,https://docs.google.com/document/d/1SjfwvnQrb8IH9tiUkK0RItbP9wbKNz5UxrrMAxALpg4/edit?usp=drivesdk,🟢 Standard,Auto-checks clean — routine verify.,pass,new
Hindi,The best thing about 2026,Competitor Replication,Exact replication,1975915979948979,mysivi,Bengali,https://docs.google.com/document/d/1veyJMUdq8BGgH1cMZ0msnGY8a5SsajMs0GclLJw_Gq4/edit?usp=drivesdk,https://docs.google.com/document/d/11GnrU_bdzUFDWl51rjupRlp5PDXSBXNobdDa5vcu1PI/edit?usp=drivesdk,🔴 Priority review,soften the progress claim with a hedge ('start to' / 'can') (G1.1),block,new
Hindi,Only 52000 Salary - MIL Insults 2D,Competitor Replication,Exact replication,1265701665062256,mysivi,Marathi,https://docs.google.com/document/d/1b3l8BgXYlb6FlZaa3XJY7tz1DBIjI5K7TCh5yBQ46l4/edit?usp=drivesdk,https://docs.google.com/document/d/1Nfmf6k4DzyD29qJjL2Yk0G-rGlLKmJfAoyjBEvtna4A/edit?usp=drivesdk,🔴 Priority review,"keep trauma fictional/absurdist, not real fear-mongering (G5.1)",block,new
Hindi,I don't even know grammar,Competitor Replication,Exact replication,1241566174149176,mysivi,Bengali,https://docs.google.com/document/d/1H1aqfxnnX29Yt8G82q6U-abOcktSqmhWM2lHzc3kykk/edit?usp=drivesdk,https://docs.google.com/document/d/1XdR9-IHw5r3hrnr_3rrfrlK7BEmvvjjDXRO5Pv-3JSA/edit?usp=drivesdk,🔴 Priority review,soften the progress claim with a hedge ('start to' / 'can') (G1.1),block,new
Hindi,I'm getting bored in the train - Robot translation,Competitor Replication,Exact replication,2160250698081128,mysivi,Hindi,https://docs.google.com/document/d/1LaNMH9WoEqyuebbferwZav1A7JxNHx9a5IVXSCjGlCE/edit?usp=drivesdk,https://docs.google.com/document/d/1SFJwdvQyCy4BZeWushDtcPYgYvDBJcvTGXmC3h3hJzQ/edit?usp=drivesdk,🟢 Standard,Auto-checks clean — routine verify.,pass,new
Hindi,Look at me - Robot Girl practice,Competitor Replication,Exact replication,2397605794050606,mysivi,Kannada,https://docs.google.com/document/d/1QhtNYAH93rpKdxFVgONAs2QtQ76DkVy92aJgInoo4Pc/edit?usp=drivesdk,https://docs.google.com/document/d/12osbNhn0zCmZrKXq_31KtvMh7Ri5SYGPNQ7EwGY--dE/edit?usp=drivesdk,🔴 Priority review,price/discount shown — remove the hard rupee figure or confirm it's the source visual (G6.1),block,new
Hindi,I go - I went - Robot Present Past Tense,Competitor Replication,Exact replication,1242366044736854,mysivi,Hindi,https://docs.google.com/document/d/1cWc7fNbMOfp8Ak3X3ModB-QEUVjm-z28mqKQcCwnx3s/edit?usp=drivesdk,https://docs.google.com/document/d/1njGFdNJs3oKD2cZGlLGtSQF8CQFXxGXoS33lR06dPUE/edit?usp=drivesdk,🔴 Priority review,price/discount shown — remove the hard rupee figure or confirm it's the source visual (G6.1),block,new
Hindi,Tarak Mehta - Before and After Meme,Competitor Replication,Exact replication,960956759748865,mysivi,Gujarati,https://docs.google.com/document/d/1tR9PHXOkW1K3fywOa-Llghqk8ixqp799j1vAZSth7Ss/edit?usp=drivesdk,https://docs.google.com/document/d/1gydTGEGjuUpVR3DP8-AKHd07T9EYCAAO54BI8u-EpIc/edit?usp=drivesdk,🟢 Standard,Auto-checks clean — routine verify.,pass,new
Hindi,Lady roadside interview,Competitor Replication,Exact replication,1770363464324959,mysivi,Hindi,https://docs.google.com/document/d/1ZQ_yqs_oGgg4IHG1FiewKXf5FkBwPYLVThqay4TSIwo/edit?usp=drivesdk,https://docs.google.com/document/d/1NQiuMNwmMdfnsONg2U4tYwlF4KIUb86gRNf4ocBB_Pw/edit?usp=drivesdk,🟢 Standard,Auto-checks clean — routine verify.,pass,new
Hindi,What are you eating - 2D,Competitor Replication,Exact replication,1539756771201455,mysivi,Marathi,https://docs.google.com/document/d/1Gn5MmwxgYofuVK2_7oDz7AoGBfykWmjfr8xhhuFzqlo/edit?usp=drivesdk,https://docs.google.com/document/d/1CPEQOTMtuQeO3VDvNC9PSOIZOmtcbMdneTNal6F1hBA/edit?usp=drivesdk,🔴 Priority review,price/discount shown — remove the hard rupee figure or confirm it's the source visual (G6.1); price/UI overlay in the VISUAL — strip from production or confirm it's the source ad (G4.2),block,new
Hindi,Switch off the light - Stage Interview,Competitor Replication,Exact replication,916573367889182,mysivi,Kannada,https://docs.google.com/document/d/1FfH-bxuflUunT8BGvpGnmZAEjeDMm8SzHyBVrGisVcw/edit?usp=drivesdk,https://docs.google.com/document/d/1KAefxWh0aIi4dmCvD-tjYLt77yhitl_bRlaSPzJX810/edit?usp=drivesdk,🟢 Standard,Auto-checks clean — routine verify.,pass,new
Hindi,Engineer Surprised by MIgrant Worker's English,Competitor Replication,Exact replication,1650698336116329,mysivi,Hindi,https://docs.google.com/document/d/1qJJC0veZ9LiTe7PcqJZWkddpmTzklOF7Ll4XOt5jK8A/edit?usp=drivesdk,https://docs.google.com/document/d/1D-pgNvWXbs4hww9TsIwFZmwddoxcyZufJuYWC6r7L2o/edit?usp=drivesdk,🟢 Standard,Auto-checks clean — routine verify.,pass,new
Marathi,Grandma practicising English,Competitor Replication,GrandMa practicising English with grand daughter.,2168403830564045,mysivi,Marathi,https://docs.google.com/document/d/1epkaH7oXZn_9r-y5-yT47j1ttyHT1ksjewijL7HaFsQ/edit?usp=drivesdk,https://docs.google.com/document/d/1NiJNXeNRxVsw7_zOc6OXG88MCLxbIr0uWCpDUdtS1nI/edit?usp=drivesdk,🟢 Standard,Auto-checks clean — routine verify.,pass,new
Marathi,Vada - Pav - Misal Love Triangle,Competitor Replication,Misal Mocks Vada. Pav leaves him.,2154159342046433,mysivi,Marathi,https://docs.google.com/document/d/1QB91PJiERAJGQbaOnueiUy7OnX2gr__0KoGJRA6mC1k/edit?usp=drivesdk,https://docs.google.com/document/d/1G4UeN-oCoNKK-5az6ahQFUeiv2Z_jpuVYw_MHy8HZUA/edit?usp=drivesdk,✅ Already reviewed (prior round),,,pre-existing
Marathi,Whatsapp Text + Meme,Competitor Replication,The same meme in the bottom half and and the same scrolling text in WhatsApp on the top half,1592044018737354,mysivi,Tamil,https://docs.google.com/document/d/1Qfx3A2TXZ4JdLgsvuIJ58eW9Pmf9rFcrXJghwtHpRdM/edit?usp=drivesdk,https://docs.google.com/document/d/16JJ5wkvq40lIYTqp7GC-305w4_5DR_tXEYd_B2EsgvM/edit?usp=drivesdk,✅ Already reviewed (prior round),,,pre-existing
Bengali,Amir Khan Meme - Before and After,Competitor Replication,Before and after meme with Americans' reaction,876285282244370,mysivi,Hindi,https://docs.google.com/document/d/1bTbblWqw5diHdlM2I7SGJASXMVYtDqE7Ve7BsDV7FTg/edit?usp=drivesdk,https://docs.google.com/document/d/1hN2h4OHLCW8YuNW8lpqU38QsnI28AIILJgmz5p95QKw/edit?usp=drivesdk,🟢 Standard,Auto-checks clean — routine verify.,pass,new
Marathi,Amir Khan Meme - Before and After,Competitor Replication,Before and after meme with Americans' reaction,876285282244370,mysivi,Hindi,https://docs.google.com/document/d/1bTbblWqw5diHdlM2I7SGJASXMVYtDqE7Ve7BsDV7FTg/edit?usp=drivesdk,https://docs.google.com/document/d/1KLHZ4OkO29HNzHa9p77b7zB2wQwPYqTQIMwbuhzouXE/edit?usp=drivesdk,🟢 Standard,Auto-checks clean — routine verify.,pass,new
Gujarati,Amir Khan Meme - Before and After,Competitor Replication,Before and after meme with Americans' reaction,876285282244370,mysivi,Hindi,https://docs.google.com/document/d/17NRuGPf70M5LAvzEz4bHiFVZ-5LETulWuHLZPm0F1yM/edit?usp=drivesdk,https://docs.google.com/document/d/1O-bRqYoxr3mgRI9ZpSzsCjFa2INDATyYR3tvwZdQ6ZU/edit?usp=drivesdk,✅ Already reviewed (prior round),,,pre-existing
Marathi,I go to home - Split Screen MIss Nova,Competitor Replication,"Man driving the car says, ""I go to home."" Split screen Miss Nova corrects. Horizontal split screen",810618368177111,mysivi,Tamil,https://docs.google.com/document/d/14PXhy6vTV9vjv_l4QZCw_xDArH6a4Vd3Vs74VzNOEDU/edit?usp=drivesdk,https://docs.google.com/document/d/1dnW-gPN6aXZ5BQCJEmbVYdgpUgVqxwFHy-En_s1Rrdo/edit?usp=drivesdk,🔴 Priority review,price/UI overlay in the VISUAL — strip from production or confirm it's the source ad (G4.2); price/discount shown — remove the hard rupee figure or confirm it's the source visual (G6.1),block,new
Bengali,I go to home - Split Screen MIss Nova,Competitor Replication,"Man driving the car says, ""I go to home."" Split screen Miss Nova corrects. Horizontal split screen",810618368177111,mysivi,Tamil,https://docs.google.com/document/d/1Ek3hfDl6Yy602KBwshSPkx_8uTnBsi-1q_oSQHsJS60/edit?usp=drivesdk,https://docs.google.com/document/d/1LhdGk1dVFogEqUK2fet2sUnYeGRQmBPLmOLLtfK-5Hw/edit?usp=drivesdk,✅ Already reviewed (prior round),,,pre-existing
Bengali,Text-based 2D Video - Music changes to BGM,Competitor Replication,Same Musical Text Video but this time music changes to this,1251362460515133,mysivi,Telugu,https://docs.google.com/document/d/1jcmWE79sfgM-DGaxQGrLhTnfvR4seTps0eWmJQhsYwE/edit?usp=drivesdk,https://docs.google.com/document/d/1--X0bIeBRQfhrHWwRYzi5ZTSY8vmd3BajQAZpCZOp8o/edit?usp=drivesdk,🟢 Standard,Auto-checks clean — routine verify.,pass,new
Marathi,Text-based 2D Video - Music changes to BGM,Competitor Replication,Same Musical Text Video but this time music changes to this,1251362460515133,mysivi,Telugu,https://docs.google.com/document/d/1jcmWE79sfgM-DGaxQGrLhTnfvR4seTps0eWmJQhsYwE/edit?usp=drivesdk,https://docs.google.com/document/d/1eyPwMCeJwzPV0KoGBNgu1_enb1XCa1hqYT-sGugIl-c/edit?usp=drivesdk,🟢 Standard,Auto-checks clean — routine verify.,pass,new
Marathi,Shahrukh Khan Meme - Coaching class vs Supernova,Competitor Replication,Exact replication,898788299356495,mysivi,Hindi,https://docs.google.com/document/d/1ZhRK67OQWs-hLNT_GKzjy_hrdAcMiYugBgPUF4XNOro/edit?usp=drivesdk,https://docs.google.com/document/d/1YVIcN-GZ2dkvvuKWK5fhAzHkm-sF4-omiY3fn6BSBBg/edit?usp=drivesdk,🟢 Standard,Auto-checks clean — routine verify.,pass,new
